"feature_id" "feature_name" "feature_name_clean"
"1" 1 "tBodyAcc-mean()-X" "tBodyAccmeanX"
"2" 2 "tBodyAcc-mean()-Y" "tBodyAccmeanY"
"3" 3 "tBodyAcc-mean()-Z" "tBodyAccmeanZ"
"4" 4 "tBodyAcc-std()-X" "tBodyAccstdX"
"5" 5 "tBodyAcc-std()-Y" "tBodyAccstdY"
"6" 6 "tBodyAcc-std()-Z" "tBodyAccstdZ"
"7" 7 "tBodyAcc-mad()-X" "tBodyAccmadX"
"8" 8 "tBodyAcc-mad()-Y" "tBodyAccmadY"
"9" 9 "tBodyAcc-mad()-Z" "tBodyAccmadZ"
"10" 10 "tBodyAcc-max()-X" "tBodyAccmaxX"
"11" 11 "tBodyAcc-max()-Y" "tBodyAccmaxY"
"12" 12 "tBodyAcc-max()-Z" "tBodyAccmaxZ"
"13" 13 "tBodyAcc-min()-X" "tBodyAccminX"
"14" 14 "tBodyAcc-min()-Y" "tBodyAccminY"
"15" 15 "tBodyAcc-min()-Z" "tBodyAccminZ"
"16" 16 "tBodyAcc-sma()" "tBodyAccsma"
"17" 17 "tBodyAcc-energy()-X" "tBodyAccenergyX"
"18" 18 "tBodyAcc-energy()-Y" "tBodyAccenergyY"
"19" 19 "tBodyAcc-energy()-Z" "tBodyAccenergyZ"
"20" 20 "tBodyAcc-iqr()-X" "tBodyAcciqrX"
"21" 21 "tBodyAcc-iqr()-Y" "tBodyAcciqrY"
"22" 22 "tBodyAcc-iqr()-Z" "tBodyAcciqrZ"
"23" 23 "tBodyAcc-entropy()-X" "tBodyAccentropyX"
"24" 24 "tBodyAcc-entropy()-Y" "tBodyAccentropyY"
"25" 25 "tBodyAcc-entropy()-Z" "tBodyAccentropyZ"
"26" 26 "tBodyAcc-arCoeff()-X,1" "tBodyAccarCoeffX1"
"27" 27 "tBodyAcc-arCoeff()-X,2" "tBodyAccarCoeffX2"
"28" 28 "tBodyAcc-arCoeff()-X,3" "tBodyAccarCoeffX3"
"29" 29 "tBodyAcc-arCoeff()-X,4" "tBodyAccarCoeffX4"
"30" 30 "tBodyAcc-arCoeff()-Y,1" "tBodyAccarCoeffY1"
"31" 31 "tBodyAcc-arCoeff()-Y,2" "tBodyAccarCoeffY2"
"32" 32 "tBodyAcc-arCoeff()-Y,3" "tBodyAccarCoeffY3"
"33" 33 "tBodyAcc-arCoeff()-Y,4" "tBodyAccarCoeffY4"
"34" 34 "tBodyAcc-arCoeff()-Z,1" "tBodyAccarCoeffZ1"
"35" 35 "tBodyAcc-arCoeff()-Z,2" "tBodyAccarCoeffZ2"
"36" 36 "tBodyAcc-arCoeff()-Z,3" "tBodyAccarCoeffZ3"
"37" 37 "tBodyAcc-arCoeff()-Z,4" "tBodyAccarCoeffZ4"
"38" 38 "tBodyAcc-correlation()-X,Y" "tBodyAcccorrelationXY"
"39" 39 "tBodyAcc-correlation()-X,Z" "tBodyAcccorrelationXZ"
"40" 40 "tBodyAcc-correlation()-Y,Z" "tBodyAcccorrelationYZ"
"41" 41 "tGravityAcc-mean()-X" "tGravityAccmeanX"
"42" 42 "tGravityAcc-mean()-Y" "tGravityAccmeanY"
"43" 43 "tGravityAcc-mean()-Z" "tGravityAccmeanZ"
"44" 44 "tGravityAcc-std()-X" "tGravityAccstdX"
"45" 45 "tGravityAcc-std()-Y" "tGravityAccstdY"
"46" 46 "tGravityAcc-std()-Z" "tGravityAccstdZ"
"47" 47 "tGravityAcc-mad()-X" "tGravityAccmadX"
"48" 48 "tGravityAcc-mad()-Y" "tGravityAccmadY"
"49" 49 "tGravityAcc-mad()-Z" "tGravityAccmadZ"
"50" 50 "tGravityAcc-max()-X" "tGravityAccmaxX"
"51" 51 "tGravityAcc-max()-Y" "tGravityAccmaxY"
"52" 52 "tGravityAcc-max()-Z" "tGravityAccmaxZ"
"53" 53 "tGravityAcc-min()-X" "tGravityAccminX"
"54" 54 "tGravityAcc-min()-Y" "tGravityAccminY"
"55" 55 "tGravityAcc-min()-Z" "tGravityAccminZ"
"56" 56 "tGravityAcc-sma()" "tGravityAccsma"
"57" 57 "tGravityAcc-energy()-X" "tGravityAccenergyX"
"58" 58 "tGravityAcc-energy()-Y" "tGravityAccenergyY"
"59" 59 "tGravityAcc-energy()-Z" "tGravityAccenergyZ"
"60" 60 "tGravityAcc-iqr()-X" "tGravityAcciqrX"
"61" 61 "tGravityAcc-iqr()-Y" "tGravityAcciqrY"
"62" 62 "tGravityAcc-iqr()-Z" "tGravityAcciqrZ"
"63" 63 "tGravityAcc-entropy()-X" "tGravityAccentropyX"
"64" 64 "tGravityAcc-entropy()-Y" "tGravityAccentropyY"
"65" 65 "tGravityAcc-entropy()-Z" "tGravityAccentropyZ"
"66" 66 "tGravityAcc-arCoeff()-X,1" "tGravityAccarCoeffX1"
